section_id,section_number,section_number_end,title,part_id,subpart_id,reserved,lead_text,source_document
SEC-120.1,120.1,,General authorities.,PART-120,PART-120-SUBA,,,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.2,120.2,,Designation of defense articles and defense services.,PART-120,PART-120-SUBA,,"The Arms Export Control Act (22 U.S.C. 2778(a) and 2794(7)) provides that the President shall designate the articles and services deemed to be defense articles and defense services for purposes of import or export controls. The President has delegated to the Secretary of State the authority to control the export and temporary import of defense articles and services. The items designated by the Secretary of State for purposes of export and temporary import control constitute the U.S. Munitions List (USML) specified in part 121 of this subchapter. Defense articles on the USML specified in part 121 of this subchapter that are also subject to permanent import control by the Attorney General on the U.S. Munitions Import List enumerated in 27 CFR part 447 are subject to temporary import controls administered by the Secretary of State. Designations of defense articles and defense services on the USML in part 121 of this subchapter are made by the Department of State with the concurrence of the Department of Defense. The scope of the USML shall be changed only by amendments made pursuant to section 38 of the Arms Export Control Act (22 U.S.C. 2778). For a designation or determination on whether a particular item is enumerated on the USML, see § 120.4.","International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.3,120.3,,Policy on designating or determining defense articles and services on the U.S. Munitions List.,PART-120,PART-120-SUBA,,,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.4,120.4,,Commodity jurisdiction.,PART-120,PART-120-SUBA,,,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.5,120.5,,Relation to regulations of other agencies.,PART-120,PART-120-SUBA,,"§ 121.1 of this subchapter will not be granted unless the defense article, technical data, or defense service comes within the scope of an existing Agreement for Cooperation for Mutual Defense Purposes concluded pursuant to the AEA with the government of the country to which the defense article, technical data, or defense service is to be exported. Licenses may be granted in the absence of such an agreement only:","International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.6,120.6,,U.S. criminal statutes.,PART-120,PART-120-SUBA,,"For purposes of this subchapter, the phrase U.S. criminal statutes comprises the following:","International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.7,120.7,,Relations to other provisions of law.,PART-120,PART-120-SUBA,,,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.8-120.9,120.8,120.9,[Reserved],PART-120,PART-120-SUBA,yes,,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.10,120.10,,Introduction to the U.S. Munitions List.,PART-120,PART-120-SUBB,,,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.11,120.11,,Order of review.,PART-120,PART-120-SUBB,,,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.12,120.12,,Commodity jurisdiction determination requests.,PART-120,PART-120-SUBB,,,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.13,120.13,,Registration.,PART-120,PART-120-SUBB,,,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.14,120.14,,Licenses and related authorizations.,PART-120,PART-120-SUBB,,,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.15,120.15,,Exemptions.,PART-120,PART-120-SUBB,,"§ 126.1 of this subchapter, except as provided in § 126.1.","International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
