from_node_type,from_node_id,relationship_type,to_node_type,to_node_id
Safeguard,1.1,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,1.2,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,1.3,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,1.4,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,1.5,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,2.1,APPLIES_TO_ASSET,AssetClass,Software
Safeguard,2.2,APPLIES_TO_ASSET,AssetClass,Software
Safeguard,2.3,APPLIES_TO_ASSET,AssetClass,Software
Safeguard,2.4,APPLIES_TO_ASSET,AssetClass,Software
Safeguard,2.5,APPLIES_TO_ASSET,AssetClass,Software
Safeguard,2.6,APPLIES_TO_ASSET,AssetClass,Software
Safeguard,2.7,APPLIES_TO_ASSET,AssetClass,Software
Safeguard,3.1,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,3.1,APPLIES_TO_ASSET,AssetClass,Documentation
Safeguard,3.2,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,3.3,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,3.4,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,3.4,APPLIES_TO_ASSET,AssetClass,Documentation
Safeguard,3.5,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,3.6,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,3.6,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,3.7,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,3.8,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,3.8,APPLIES_TO_ASSET,AssetClass,Documentation
Safeguard,3.9,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,3.10,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,3.10,APPLIES_TO_ASSET,AssetClass,Networks
Safeguard,3.11,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,3.11,APPLIES_TO_ASSET,AssetClass,Applications
Safeguard,3.12,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,3.13,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,3.14,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,4.1,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,4.1,APPLIES_TO_ASSET,AssetClass,Software
Safeguard,4.1,APPLIES_TO_ASSET,AssetClass,Documentation
Safeguard,4.2,APPLIES_TO_ASSET,AssetClass,Networks
Safeguard,4.2,APPLIES_TO_ASSET,AssetClass,Documentation
Safeguard,4.3,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,4.4,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,4.4,APPLIES_TO_ASSET,AssetClass,Networks
Safeguard,4.5,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,4.5,APPLIES_TO_ASSET,AssetClass,Networks
Safeguard,4.6,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,4.6,APPLIES_TO_ASSET,AssetClass,Software
Safeguard,4.6,APPLIES_TO_ASSET,AssetClass,Networks
Safeguard,4.7,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,4.7,APPLIES_TO_ASSET,AssetClass,Software
Safeguard,4.8,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,4.8,APPLIES_TO_ASSET,AssetClass,Software
Safeguard,4.9,APPLIES_TO_ASSET,AssetClass,Networks
Safeguard,4.10,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,4.11,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,4.11,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,4.12,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,5.1,APPLIES_TO_ASSET,AssetClass,Users
Safeguard,5.2,APPLIES_TO_ASSET,AssetClass,Users
Safeguard,5.3,APPLIES_TO_ASSET,AssetClass,Users
Safeguard,5.4,APPLIES_TO_ASSET,AssetClass,Users
Safeguard,5.5,APPLIES_TO_ASSET,AssetClass,Users
Safeguard,5.6,APPLIES_TO_ASSET,AssetClass,Users
Safeguard,6.1,APPLIES_TO_ASSET,AssetClass,Users
Safeguard,6.2,APPLIES_TO_ASSET,AssetClass,Users
Safeguard,6.3,APPLIES_TO_ASSET,AssetClass,Users
Safeguard,6.3,APPLIES_TO_ASSET,AssetClass,Applications
Safeguard,6.4,APPLIES_TO_ASSET,AssetClass,Users
