from_node_type,from_node_id,relationship_type,to_node_type,to_node_id
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,1
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,2
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,3
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,4
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,5
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,6
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,7
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,8
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,9
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,10
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,11
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,12
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,13
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,14
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,15
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,16
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,17
Framework,CIS Critical Security Controls,HAS_CONTROL,Control,18
